,zinc_ids,polymer,reactants,n_polymer_atoms
12146,ZINC000409382109,*=CC1OC(C)(C=*)C(C(=O)Nc2ccc(N=Nc3ccc(C)cc3)cc2)C1C(=O)O,Cc1ccc(N=Nc2ccc(NC(=O)C3C(C(=O)O)C4C=CC3(C)O4)cc2)cc1,29
12147,ZINC000409377033,*=CC1OC(C)(C=*)C(C(=O)Nc2ccc(N=Nc3ccccc3)cc2)C1C(=O)O,CC12C=CC(O1)C(C(=O)O)C2C(=O)Nc1ccc(N=Nc2ccccc2)cc1,28
12148,ZINC000000871770,*=CCC1C(C=*)c2cc(C(=O)OCC)ccc2NC1c1ccc(C(=O)OC)cc1,CCOC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(C(=O)OC)cc1)N2,28
12149,ZINC000226638080,*=CCC1C(C=*)c2cccc(C(=O)OC)c2NC1c1cc(OC)c(OC)c(OC)c1,COC(=O)c1cccc2c1NC(c1cc(OC)c(OC)c(OC)c1)C1CC=CC21,29
12150,ZINC000107846013,*=CSC1=NC(C)=C(C(=O)OCC)C(c2ccc(N3CCCC3)c(C)c2)N1C=*,CCOC(=O)C1=C(C)N=C2SC=CN2C1c1ccc(N2CCCC2)c(C)c1,27
12151,ZINC000020037198,*=CSC1=NC(=O)C(=Cc2cc(C)n(-c3cccc(C)c3C)c2C)C(=N)N1C=*,Cc1cccc(-n2c(C)cc(C=C3C(=N)N4C=CSC4=NC3=O)c2C)c1C,27
12152,ZINC000020037205,*=CSC1=NC(=O)C(=Cc2cc(C)n(-c3cc(C)cc(C)c3)c2C)C(=N)N1C=*,Cc1cc(C)cc(-n2c(C)cc(C=C3C(=N)N4C=CSC4=NC3=O)c2C)c1,27
12153,ZINC000020210817,*=CSC1=NC(=O)C(=Cc2cccn2-c2ccc(Br)cc2)C(=N)N1C=*,N=C1C(=Cc2cccn2-c2ccc(Br)cc2)C(=O)N=C2SC=CN12,24
12154,ZINC000408736526,*=CCC1C(C=*)c2cc(C(=O)O)ccc2NC1c1cc(OC)c(OC)c(OC)c1,COc1cc(C2Nc3ccc(C(=O)O)cc3C3C=CCC32)cc(OC)c1OC,28
12155,ZINC000034306885,*=CC(CO)CC(C=*)Nc1nc(N)nc(Cl)c1N=Nc1ccc(Cl)cc1,Nc1nc(Cl)c(N=Nc2ccc(Cl)cc2)c(NC2C=CC(CO)C2)n1,25
12156,ZINC000041074308,*=CSC1=NC(=O)C(=Cc2cn(-c3ccccc3)nc2-c2ccccc2)C(=N)N1C=*,N=C1C(=Cc2cn(-c3ccccc3)nc2-c2ccccc2)C(=O)N=C2SC=CN12,29
12157,ZINC000101021110,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccc(-c4cc(Cl)ccc4OC)o3)C(=O)C12,COc1ccc(Cl)cc1-c1ccc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)o1,28
