SN,smiles,eib
186,[*]CCCCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3c(Br)c2c1=O,1.1168054052106382
187,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)nc1,1.1303184777140105
188,[*]CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N([*])C3=O)cc1,1.1309286173130535
189,[*]CC(=S)C(C=C1)=CC=C1O[*],1.1353198229005317
190,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4[nH]3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,1.1397351052234057
191,[*]N=Nc1ccc(-c2ccc([*])c(C)c2)cc1C,1.1405423910591272
192,[*]c1ccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)cc1,1.1411673962768027
193,[*]Oc1ccc(OC(=O)C=Cc2ccc(C=CC([*])=O)cc2)cc1,1.1434364617131547
194,[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],1.14411939378351
195,[*]Oc1ccc(N=Nc2ccc(C([*])=O)cc2)cc1C,1.1442909369593983
196,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],1.1449483371505549
197,[*]C#Cc1ccc([*])s1,1.1478351043179096
198,[*]CC(=S)C(S1)=CC=C1O[*],1.1517718907929535
199,[*]C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,1.152984209916684
200,[*]c1ccc(-c2nnc([*])o2)cc1,1.1542486730393955
201,[*]CC1(C)CC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)CC(C)(C)C1,1.1570177147918796
202,[*]CC(=O)C(S1)=CC=C1C(=O)[*],1.1651177540826594
203,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],1.1694319446966308
204,[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],1.1710746869734443
205,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],1.1715674895714034
206,[*]C(=O)NNC(=O)c1ccc(C(=O)NNC(=O)c2ccc([*])nc2)s1,1.1809911999828118
207,[*]Nc1ccc(NC(=S)NC(=O)c2ccc(C(=O)NC([*])=S)cc2)cc1,1.1842009166149503
208,[*]c1cc(C(=O)NCCCC)cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,1.1917946964589872
209,[*]C(=O)c1ccc(Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,1.1922291291086138
210,[*]C#CC#Cc1ccc(-c2ccc([*])s2)s1,1.1947231133243696
211,[*]C=C([*])c1cccc(Br)c1,1.197599733653116
212,[*]C(c1cccs1)=c1ccc(=c2ccc(=C(c3cccs3)c3ccc(-c4ccc([*])s4)s3)s2)s1,1.2008332152582302
213,[*]C=C[*],1.202427045061842
214,[*]C(=O)C(S1)=CC=C1OC(=S)[*],1.2045140287761829
215,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1Cl,1.2084633053017428
216,[*]C=C([*])c1ccccc1,1.2105001606759016
217,[*]c1c(C)cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,1.2191332608784031
218,[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,1.2196607418026175
219,[*]CC(S1)=CC=C1C(=S)O[*],1.2211598185827215
220,[*]C1=CC=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,1.2288019042038134
221,CC(=S)NC(=S),1.2288919789102648
222,[*]C=C([*])c1cccc(C#C)n1,1.231946591315073
223,[*]C(C)=C([*])C#N,1.2346613003510878
224,[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],1.2389993567209543
225,[*]c1cncc(-c2nnc(-c3nnc([*])o3)o2)n1,1.2526938218299015
226,[*]C=C([*])c1cc(C(F)(F)F)oc1C(F)(F)F,1.2538367795961631
227,C(F)(F)C(F)(F)C(=S)O,1.2560813041494416
228,[*]Nc1ccc([*])cc1[N+](=O)[O-],1.257184724049714
229,[*]Oc1ccc(NC(=C(C#N)C#N)c2ccc(C(Nc3ccc([*])cc3)=C(C#N)C#N)cc2)cc1,1.2625428845699371
230,[*]c1c(C)c(C)c(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c(C)c1C,1.2641414726275748
231,[*]NC(=S)C(S1)=CC=C1O[*],1.264909610862068
232,[*]c1cccc(N2C(=O)c3ccc(P(=O)(c4ccccc4)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,1.2650544849952778
233,[*]c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C)c(C)c1,1.265384183380586
234,[*]c1cc2c(s1)-c1sc([*])cc1C2=C1c2ccsc2-c2sccc21,1.2678502677936931
235,[*]c1cccc(-c2nnc(-c3nnc([*])o3)o2)c1,1.2756562178443267
236,[*]C=Cc1ccc([*])c2c1C(=O)OC2=O,1.2829563790601872
237,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)C([*])(C(F)(F)F)C(F)(F)F)cc1)C2=O,1.290733369373647
238,[*]C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc([*])nc2)c1,1.2952717169856989
239,[*]c1ccc(-c2nnc([*])o2)c(OCCCCC)c1,1.2976326960282494
240,CC(=S)CC(=S),1.2986607863284627
241,[*]c1cccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,1.3031015272190891
242,[*]C(=O)C(S1)=CC=C1C(=O)O[*],1.3082473349613215
243,[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],1.31204881058073
244,[*]C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc([*])cc4C3=O)c2)c1,1.3199705546272504
245,[*]C#Cc1cc(CCCCCC)c([*])s1,1.319999035701648
246,[*]c1cc(CC(=O)Cl)c([*])s1,1.3232779189940658
247,[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],1.329887593894196
248,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1CCC(C)CC,1.33088397623174
249,[*]NNC(=O)c1cccc(C(=O)NNC(=S)c2cccc(C([*])=S)c2)c1,1.3387990327554309
250,[*]c1ccc(-c2cnc3cc(-c4ccc5nc([*])cnc5c4)ccc3n2)cc1,1.3399978644643942
251,[*]c1ccc2nc([*])sc2c1,1.3400521738002809
252,[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],1.3404905816678818
