,composition,load,hardness,category,type
458,Ta0.1W0.9B4,4.9,30.90436327,exp,only_exp
459,Ta0.25W0.75B,0.49,38,exp,only_exp
460,Ta0.25W0.75B,0.98,28.5,exp,only_exp
461,Ta0.25W0.75B,4.9,21,exp,only_exp
462,Ta0.3W0.7B4,0.49,42.6369863,exp,only_exp
463,Ta0.3W0.7B4,0.98,36.92922374,exp,only_exp
464,Ta0.3W0.7B4,1.96,32.96549975,exp,only_exp
465,Ta0.3W0.7B4,2.94,30.87265348,exp,only_exp
466,Ta0.3W0.7B4,4.9,29.38229325,exp,only_exp
467,Ta0.5Nb0.5Cr2 ,1.96,10.44,exp,only_exp
468,Ta0.5W0.5B4,0.49,40.86123795,exp,only_exp
469,Ta0.5W0.5B4,0.98,33.78995434,exp,only_exp
470,Ta0.5W0.5B4,1.96,31.91907661,exp,only_exp
471,Ta0.5W0.5B4,2.94,31.09462202,exp,only_exp
472,Ta0.5W0.5B4,4.9,30.30187722,exp,only_exp
473,Ta3B2,0.49,27.16,exp,only_exp
474,Ta3B4,0.49,32.85,exp,only_exp
475,TaB,0.49,30.69,exp,only_exp
476,TaB2,0.29,24.52,exp,only_exp
477,TaC,0.98,23.58,exp,only_exp
478,TaCr2 ,1.96,2.98,exp,only_exp
479,TaN,0.1,22,exp,only_exp
480,TbB6,0.98,22.56,exp,only_exp
481,TbMn2Si2 ,0.49,5.5,exp,only_exp
482,TbPd2Ge,0.98,7.45,exp,only_exp
483,ThB6,0.19,17.06,exp,only_exp
484,ThB66,0.98,22.65,exp,only_exp
485,ThC,1.96,5.88,exp,only_exp
486,ThC2 ,1.96,5.88,exp,only_exp
487,ThCo3Al2,0.98,5.6,exp,only_exp
